epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.97278,1.95251,7.30803,1.80141,0.00224,0.2,0.00206,0.00021,3.64115,6.3363,3.66512,4.287e-05,4.287e-05,4.287e-05
2,13.1109,1.98834,5.54792,1.91685,0.00247,0.2,0.00154,0.00015,3.41192,7.69878,3.55978,9.50785e-05,9.50785e-05,9.50785e-05
3,18.2976,2.46893,6.68914,2.16617,0,0,0,0,3.53729,7.4021,3.58684,0.000141628,0.000141628,0.000141628
4,23.2848,2.50117,5.37387,2.38454,0,0,0,0,3.63813,6.62977,3.68619,0.000182519,0.000182519,0.000182519
5,28.4513,2.41445,5.86098,2.25771,0.00318,0.2,0.00206,0.00021,3.03224,6.35897,3.1275,0.000217751,0.000217751,0.000217751
6,33.2075,1.9879,6.44666,1.86143,0.00651,0.4,0.00545,0.00074,3.04451,6.50958,2.83811,0.000247324,0.000247324,0.000247324
7,38.0571,1.65346,6.13582,1.47864,0.01045,0.6,0.04579,0.00876,3.17941,6.09203,3.07079,0.000271238,0.000271238,0.000271238
8,43.0453,2.31958,5.69124,2.04495,0.01124,0.6,0.06203,0.00655,3.04087,6.39678,3.02226,0.000289494,0.000289494,0.000289494
9,47.7733,1.44212,5.8361,1.37751,0.00435,0.2,0.02614,0.00523,3.08287,7.26933,3.11777,0.000302091,0.000302091,0.000302091
10,53.297,2.01988,4.39264,1.73596,0.00543,0.2,0.0412,0.00857,3.38321,6.09566,3.15722,0.000309028,0.000309028,0.000309028
11,58.6978,2.03872,6.06239,1.92243,0.01399,0.4,0.2676,0.08786,3.20117,6.19769,3.29539,0.000310307,0.000310307,0.000310307
12,64.1315,1.31971,7.69139,1.3254,0.01626,0.4,0.26829,0.08302,3.14201,5.70836,3.40767,0.000305927,0.000305927,0.000305927
13,69.2134,1.74597,5.11673,1.64887,0.01681,0.4,0.26846,0.08473,2.63243,5.97629,3.07365,0.000295889,0.000295889,0.000295889
14,74.5995,1.78927,5.43149,1.813,0.01504,0.4,0.26792,0.11722,2.36474,5.74883,2.89786,0.000280191,0.000280191,0.000280191
15,79.4328,1.44001,6.35589,1.43933,0.01342,0.4,0.26743,0.12701,2.30467,5.89363,2.77032,0.000258835,0.000258835,0.000258835
16,84.4622,1.44056,6.69907,1.34645,0.01342,0.4,0.26743,0.12701,2.30467,5.89363,2.77032,0.00023182,0.00023182,0.00023182
17,89.5458,1.48843,6.2025,1.44799,0.01163,0.4,0.26688,0.11674,2.52728,5.59666,3.04638,0.000199145,0.000199145,0.000199145
18,94.2678,1.31366,5.60132,1.30069,0.15576,0.4,0.26638,0.07318,2.66939,5.74284,2.86687,0.000160813,0.000160813,0.000160813
19,98.837,1.73344,5.16355,1.73406,0.15576,0.4,0.26638,0.07318,2.66939,5.74284,2.86687,0.000116821,0.000116821,0.000116821
20,104.585,1.9377,5.31601,1.92629,0.59214,0.4,0.26608,0.08317,2.74636,5.42551,3.08003,6.71701e-05,6.71701e-05,6.71701e-05
